GO	-log10(pvalue)	genes
GO:0071456	8.616866254031242	AT3G30775,AT1G66090,AT5G20790,AT4G34131,AT1G61340,AT4G01360,AT1G30040,AT2G36220,AT5G13190,AT2G15890,AT5G35735,AT1G68670,AT3G25250,AT3G08720,AT1G18300,AT5G58070
GO:0051707	5.462512431291896	AT3G53160,AT4G34135,AT2G15490,AT4G34131,AT2G15480
GO:0009737	4.975810985983061	AT5G24240,AT1G56600,AT1G61340,AT1G61210,AT2G33380,AT2G20180,AT3G09770,AT4G18010,AT5G50720,AT1G68670,AT1G09950,AT3G46620,AT1G54100,AT3G29575,AT4G04020,AT3G07370
GO:0009409	4.865166065686252	AT1G56600,AT5G47230,AT1G01120,AT4G25490,AT2G33380,AT2G26250,AT2G20180,AT5G50720,AT3G08720,AT1G05690,AT4G04020,AT4G03430,AT5G58070,AT3G45640
GO:0009651	4.389906849330827	AT1G56600,AT2G03760,AT1G61340,AT1G61210,AT5G24030,AT2G33380,AT2G04240,AT1G09950,AT4G10310,AT3G08720,AT1G54100,AT1G05690,AT3G07370,AT3G22200
GO:0009753	4.191249129503609	AT1G02205,AT1G61340,AT3G27810,AT4G11280,AT1G70700,AT4G00050,AT2G34600,AT1G17380
GO:0051555	4.062380941971189	AT4G34135,AT2G15490,AT4G34131,AT2G15480
GO:0009611	3.9843829020630825	AT1G02205,AT1G61340,AT4G11280,AT1G70700,AT3G25250,AT2G34600,AT4G08170,AT1G17380,AT3G45640,AT3G44260
GO:0006979	3.826357054783645	AT1G56600,AT3G20340,AT3G30775,AT1G09970,AT4G11280,AT1G09940,AT3G25250,AT2G29450,AT4G12000,AT3G45640
GO:0009414	3.54158193000159	AT1G56600,AT3G30775,AT1G02205,AT4G25490,AT5G24030,AT5G50720,AT4G11280,AT3G46620,AT3G23920,AT1G47128,AT5G58070,AT2G22430
GO:0019379	3.523640722899265	AT4G04610,AT4G21990
GO:2000022	3.0791428865799984	AT3G55970,AT1G70700,AT2G34600,AT1G17380
GO:0080037	2.837707999559989	AT1G15670,AT1G19770
GO:0160062	2.836588170652498	AT1G02205,AT1G01120,AT2G26250
GO:0032957	2.695926229915819	AT4G18010,AT4G08170
GO:0009751	2.677828583137861	AT2G03760,AT1G61340,AT3G61260,AT2G33380,AT5G24110,AT1G05690
GO:0006783	2.575334012241539	AT2G20180,AT1G09940
GO:0098838	2.470536314679878	AT1G04570,AT5G54860
GO:0010230	2.220336713366245	AT1G32350,AT4G05020
GO:1901002	2.152133830093021	AT1G66230,AT5G58070
GO:0010120	2.152133830093021	AT4G27260,AT3G45640
GO:0006535	2.031735460723695	AT1G55920,AT3G13110
GO:2000762	2.031735460723695	AT1G66230,AT1G15670
GO:0019484	1.9969693563505075	AT3G22200
GO:0045862	1.9969693563505075	AT3G07370
GO:0046185	1.9969693563505075	AT1G02205
GO:1901527	1.9969693563505075	AT3G09770
GO:0090393	1.9969693563505075	AT3G10525
GO:1902455	1.9969693563505075	AT2G34140
GO:0030644	1.9969693563505075	AT5G58070
GO:0042178	1.9969693563505075	AT4G01070
GO:0045089	1.9969693563505075	AT3G53160
GO:0006792	1.9969693563505075	AT5G48850
GO:0046967	1.9969693563505075	AT5G21990
GO:0080149	1.9969693563505075	AT4G34590
GO:2000636	1.9969693563505075	AT4G03430
GO:1900070	1.9969693563505075	AT1G09950
GO:0099039	1.9969693563505075	AT2G23810
GO:0009448	1.9969693563505075	AT3G22200
GO:0006105	1.9969693563505075	AT3G22200
GO:0008610	1.9780920569396845	AT1G02205,AT2G26250
GO:0010102	1.928083190975807	AT4G14550,AT3G18485
GO:0010183	1.9094181897946083	AT2G15890,AT3G45640,AT3G22200
GO:0000038	1.8812797180816585	AT1G01120,AT2G26250
GO:0009617	1.8698962594816044	AT2G33830,AT1G61340,AT3G53180,AT2G23150,AT3G45640
GO:0031347	1.865946162026636	AT1G70700,AT2G34600,AT1G17380
GO:0009845	1.8498462779281977	AT1G09970,AT4G18010,AT4G00050,AT4G03430
GO:0010038	1.837324341284339	AT2G26530,AT3G18485
GO:0009637	1.824481898544148	AT3G45780,AT4G00050,AT2G18915
GO:0010286	1.8044555246170857	AT1G11270,AT5G46170,AT5G58070
GO:0005983	1.7568005222870182	AT3G23920,AT3G10940
GO:0000103	1.7197578997549978	AT4G04610,AT4G21990
GO:0009450	1.7003097518341728	AT3G22200
GO:0006540	1.7003097518341728	AT3G22200
GO:0046786	1.7003097518341728	AT2G02180
GO:0009063	1.7003097518341728	AT3G47340
GO:0080164	1.7003097518341728	AT1G66400
GO:0006805	1.7003097518341728	AT4G01070
GO:0097305	1.7003097518341728	AT3G22200
GO:0010322	1.7003097518341728	AT4G13830
GO:0043065	1.7003097518341728	AT3G25250
GO:1902609	1.7003097518341728	AT2G33380
GO:0019499	1.7003097518341728	AT5G22300
GO:0051665	1.7003097518341728	AT3G61260
GO:0010249	1.7003097518341728	AT3G18485
GO:0006562	1.7003097518341728	AT3G30775
GO:0009269	1.6511616828898243	AT2G33380,AT1G54100
GO:0045892	1.636537184044229	AT4G14550,AT2G34140,AT1G66230,AT5G14070,AT3G29575
GO:0009959	1.6193003329761015	AT2G20180,AT4G00050
GO:0050826	1.6193003329761015	AT5G58070,AT3G45640
GO:0048443	1.6193003329761015	AT3G13730,AT3G27810
GO:0015706	1.588889302888153	AT5G60780,AT5G14570
GO:0042761	1.5319837767820594	AT1G01120,AT1G75000
GO:2000379	1.5285891381633576	AT2G23150
GO:0015802	1.5285891381633576	AT1G77380
GO:0010184	1.5285891381633576	AT1G19770
GO:0009865	1.5285891381633576	AT3G22200
GO:0006883	1.5285891381633576	AT5G58070
GO:1902884	1.5285891381633576	AT5G58070
GO:0006203	1.5285891381633576	AT1G68760
GO:1901183	1.5285891381633576	AT4G27260
GO:0051214	1.5285891381633576	AT5G20320
GO:0010599	1.5285891381633576	AT5G20320
GO:0010133	1.5285891381633576	AT3G30775
GO:0060919	1.5285891381633576	AT3G62150
GO:1903409	1.5053013796821526	AT5G27765,AT1G24145
GO:0060586	1.5053013796821526	AT3G47640,AT2G23150
GO:0010187	1.455078894325092	AT2G20180,AT4G00050
GO:0010025	1.455078894325092	AT1G02205,AT1G01120
GO:0009961	1.4080213012067242	AT1G61340
GO:0019433	1.4080213012067242	AT5G04040
GO:0015858	1.4080213012067242	AT4G05110
GO:0006641	1.4080213012067242	AT5G04040
GO:0043447	1.4080213012067242	AT1G02205
GO:0000271	1.4080213012067242	AT3G62720
GO:0071731	1.4080213012067242	AT1G66400
GO:0030418	1.4080213012067242	AT5G04950
GO:0006529	1.4080213012067242	AT3G47340
GO:0000244	1.4080213012067242	AT4G03430
GO:0031407	1.4080213012067242	AT2G33380
GO:0019367	1.4080213012067242	AT1G75000
GO:0034626	1.4080213012067242	AT1G75000
GO:0034625	1.4080213012067242	AT1G75000
GO:0080181	1.4080213012067242	AT5G58070
GO:0009102	1.4080213012067242	AT3G22200
GO:0090351	1.3866275390246483	AT4G18010,AT4G00050
GO:0045893	1.3403579314152927	AT1G66230,AT5G47230,AT4G25490,AT5G28300,AT4G34590,AT2G22430
GO:0002213	1.3251770074444538	AT3G28740,AT3G44260
GO:0006821	1.3154824421467213	AT5G24030
GO:0006541	1.3154824421467213	AT3G22200
GO:1900366	1.3154824421467213	AT3G55970
GO:0071218	1.3154824421467213	AT3G07370
GO:0006651	1.3154824421467213	AT5G66450
GO:0051410	1.3154824421467213	AT5G22300
GO:0080144	1.3154824421467213	AT3G09770
GO:0006353	1.3154824421467213	AT5G20320
GO:0006081	1.3154824421467213	AT1G54100
GO:0015692	1.3154824421467213	AT2G23150
GO:1902065	1.3154824421467213	AT3G45640
GO:0006369	1.3154824421467213	AT5G43620
GO:1901562	1.3154824421467213	AT5G58070
GO:0033014	1.3154824421467213	AT1G09940
GO:0009416	1.3148800737121231	AT1G01120,AT1G30040,AT2G26250,AT4G00050,AT5G58070
GO:0006468	1.2988873346588934	AT1G51805,AT3G26700,AT1G72760,AT3G25250,AT3G08720,AT3G45640
GO:0031667	1.2406726043731284	AT2G20670
GO:0010155	1.2406726043731284	AT3G45780
GO:0032877	1.2406726043731284	AT3G10525
GO:0009636	1.2406726043731284	AT4G01070
GO:0006020	1.2406726043731284	AT3G22200
GO:0090333	1.2354212218161895	AT3G09770,AT1G47128
GO:0009740	1.2190920119684965	AT3G27810,AT2G20180
GO:0006970	1.2174567535333105	AT1G61340,AT2G04240,AT4G10310,AT3G45640
GO:0050832	1.206898067838335	AT1G51090,AT1G02205,AT2G33380,AT2G15890,AT1G47128
GO:0043617	1.178097477372123	AT3G47340
GO:0070085	1.178097477372123	AT4G20170
GO:0016131	1.178097477372123	AT2G03760
GO:0006044	1.178097477372123	AT3G27540
GO:0006542	1.178097477372123	AT3G53180
GO:0005996	1.178097477372123	AT1G63180
GO:0080028	1.178097477372123	AT5G48180
GO:1990961	1.130510108870485	AT1G61890,AT3G21690
GO:0000289	1.1244774474092207	AT3G44260
GO:0006873	1.1244774474092207	AT5G24030
