gene_id	Col0_leaf	rdr2_leaf	drm_leaf	Col0_CC	rdr2_CC	drm_CC	Col0_ME	rdr2_ME	drm_ME
AT5G24240	0.0229958	2.10317	1.6937	0.0	0.940345	1.16283	0.0534269	2.75799	1.55297
AT3G48131	0.0	8.29343	0.0	0.0	23.4119	13.2641	0.0	0.0	0.0
AT1G09260	0.0688018	0.542508	0.254709	0.0	4.27479	3.62197	0.0	0.0	0.0
AT1G18940	0.649641	0.592076	0.465428	0.073827	3.00388	3.82008	1.41455	0.939392	1.44763
AT4G14550	25.0453	22.008	22.4367	0.0899851	1.7914	0.883209	0.647353	0.107439	0.38875
AT3G43110	0.10048	0.589787	0.71558	0.161037	2.90048	3.34217	0.113343	0.152475	0.372629
AT3G26240	4.56942	3.28782	2.82181	0.235481	3.74393	1.97552	4.47601	2.44525	3.05416
AT1G56600	14.0485	7.89125	21.8681	0.115955	0.896206	1.31265	0.222317	0.199261	0.29522
AT3G13720	15.095	15.3043	17.3349	0.590336	4.3431	5.83635	2.55654	2.26106	3.29416
AT3G29638	0.137331	0.523429	0.458296	0.198781	1.26051	0.895944	0.0295198	0.0640001	0.200135
AT3G47340	1.43862	0.799475	0.590408	0.609919	3.66267	2.54367	1.43631	1.6307	1.51972
AT2G34140	0.117816	0.1468	0.390138	0.518541	3.1125	7.61772	0.0564596	0.0	0.0
AT4G28703	1.4428	1.16948	0.579753	0.649528	3.69574	2.55776	0.0	0.207818	0.25398
AT1G15385	0.0	0.0	0.0	0.766258	4.05573	10.0097	0.0	0.0	0.0
AT5G17830	0.139767	0.131063	0.0429729	0.246987	1.19331	1.17459	0.17811	0.209767	0.0324465
AT1G68390	0.266333	0.128883	0.185896	0.95381	4.60028	5.22939	0.215375	0.151463	0.133927
AT2G33830	1.85028	2.34708	1.80031	1.39113	6.15875	4.85689	0.193914	0.0909669	0.48712
AT1G11270	0.961854	0.947574	1.59903	1.98192	8.55836	8.14807	1.08969	1.2919	1.69562
AT3G45730	29.6753	28.1174	25.1098	3.26308	13.8829	17.4561	23.6053	35.2849	48.3477
AT3G28770	0.34323	0.517869	0.547758	0.743983	3.10618	1.50333	0.371596	0.307625	0.579731
AT2G20670	135.65	132.452	138.592	18.2137	74.8622	88.5889	86.6764	102.4	129.717
AT4G09350	51.5273	43.0134	53.467	3.7525	14.8651	9.05986	72.7647	51.8973	65.0998
AT1G66230	10.322	10.8864	12.1113	0.568256	2.19892	3.42079	13.9376	12.8216	9.56429
